역사코드,주중주말,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2726,SAT,2.0,6.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,5.5,0.5
2727,DAY,2.5,7.0,12.0,19.0,15.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,16.5,14.5,10.5,9.5,8.5,6.5,0.5
2727,SAT,2.5,6.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,8.0,5.5,0.5
2728,DAY,2.0,7.5,12.0,19.0,15.5,10.5,10.0,10.0,10.0,10.0,10.0,10.0,11.5,15.5,15.0,10.0,10.0,8.5,6.5,0.5
2728,SAT,2.0,6.5,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,8.0,5.5,0.5
2729,DAY,2.5,7.5,12.0,19.0,15.5,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,16.5,14.5,10.5,9.5,8.5,7.0,0.5
2729,SAT,2.5,6.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,7.5,6.5,0.5
2730,DAY,2.0,7.5,12.0,19.0,15.5,10.5,10.0,10.0,10.0,10.0,10.0,10.0,11.5,15.5,15.5,10.0,9.5,9.0,6.0,0.5
2730,SAT,2.0,6.5,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,6.0,0.0
2731,DAY,2.5,7.5,11.5,19.5,16.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,16.5,14.5,10.0,10.0,8.5,6.5,1.0
2731,SAT,2.5,6.5,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,8.0,5.5,1.0
2732,DAY,2.0,7.5,12.0,19.0,15.5,10.5,10.0,10.0,10.0,10.0,10.0,10.0,11.5,16.0,15.0,10.0,9.5,8.5,6.5,0.5
2732,SAT,2.0,6.5,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,8.0,5.5,0.5
2733,DAY,2.5,7.0,11.5,19.5,16.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,16.5,15.0,10.0,10.0,8.5,6.0,0.5
2733,SAT,2.5,6.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,6.0,0.5
2734,DAY,2.0,7.5,12.0,19.0,16.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.5,16.0,14.5,10.0,10.0,9.0,6.0,0.5
2734,SAT,2.0,6.5,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,6.0,0.5
2735,DAY,2.0,7.5,11.5,19.5,16.0,10.5,10.0,10.0,10.0,10.0,10.0,10.0,10.5,16.5,15.0,10.0,9.5,9.0,6.0,0.5
2735,SAT,2.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,6.0,0.0
2736,DAY,2.0,7.0,12.5,19.0,16.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.5,16.0,15.0,10.0,9.5,8.5,6.5,0.5
2736,SAT,2.0,6.5,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,8.0,6.0,0.0
2737,DAY,2.5,7.5,12.0,19.0,15.5,10.5,10.0,10.0,10.0,10.0,10.0,10.0,11.0,16.5,15.0,9.5,10.0,9.0,6.0,1.0
2737,SAT,2.5,6.5,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,6.5,0.5
2738,DAY,2.0,7.5,12.0,19.0,16.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.5,16.0,15.0,10.0,9.5,9.0,6.0,0.5
2738,SAT,2.0,6.5,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,7.5,6.0,0.5
2739,DAY,2.5,6.5,12.5,19.5,15.0,10.5,10.0,10.0,10.0,10.0,10.0,10.0,11.0,16.5,14.5,10.0,10.0,9.0,6.0,0.5
2739,SAT,2.5,6.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,8.0,5.5,0.5
