y,x
163,80
164,135
161,189
164,245
162,298
161,351
162,407
161,462
158,513
162,567
162,623
161,674
161,730
300,710
301,645
300,581
299,514
298,451
299,385
300,319
300,257
300,187
300,124
298,61
450,63
452,129
454,194
452,257
451,324
454,387
453,453
452,519
452,585
450,648
453,714
614,712
612,648
613,580
613,518
611,451
611,388
612,322
614,257
611,192
613,128
612,63
755,72
753,136
753,203
753,269
750,333
