y,x
3326,4185
3329,4266
3331,4359
3326,4481
2968,4588
2638,4587
2413,4542
2414,4457
2411,4369
2415,4244
2410,4152
2253,4086
2028,4076
1879,4078
2416,4104
2414,4047
2391,3939
2284,3898
2230,3834
2226,3671
2236,3530
2237,3368
2157,3215
2050,3144
2065,3097
2054,3040
2061,2979
2060,2827
2119,2678
2306,2584
2562,2581
2742,2588
2463,2443
2358,2404
2242,2345
3283,2588
3586,2765
3586,2935
3580,3069
3580,3172
3581,3277
3583,3356
3578,3622
3578,3819
3376,4048
