y,x
1161,298
1160,475
1156,626
1157,774
1158,915
1163,1053
1157,1311
1158,1492
1158,1672
1160,1850
1159,2028
1160,2211
1160,2420
1164,2601
1160,2706
1159,2845
1161,2975
1256,3089
1465,3189
1667,3277
2052,3453
2237,3527
2378,3594
2454,3635
2577,3684
2683,3736
2803,3783
2857,3815
2942,3843
3008,3883
3106,3929
3380,4046
3540,4176
3542,4278
3539,4363
3533,4432
3533,4520
3533,4582
3533,4648
3534,4709
3541,4832
3309,4940
3309,5134
3312,5384
