y,x
2190,4769
2233,4749
2368,4702
2492,4651
2638,4590
2967,4791
3130,4865
3310,4938
3400,4938
3472,4936
3542,4936
3585,5032
3622,5102
3649,5170
3741,5262
3791,5157
3786,5044
3781,4938
